               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070621,            0.030574,            0.039399,             0.54364,             0.53269,             0.48517,             0.27418,            0.042404,            0.022649,            0.023833,             0.07027,           0.0033033,           0.0033033
                   1,            0.053125,            0.022513,            0.021147,             0.57593,              0.4735,             0.46724,              0.2085,            0.052701,              0.0201,            0.014256,            0.040205,           0.0065709,           0.0065709
                   2,            0.047104,            0.022065,            0.015285,             0.80857,             0.60154,             0.67111,              0.4394,            0.034322,            0.020072,            0.012912,            0.010073,           0.0097726,           0.0097726
                   3,            0.039856,               0.022,            0.014074,             0.81446,             0.58104,             0.67808,              0.4619,            0.031775,            0.020329,            0.012949,            0.009703,            0.009703,            0.009703
                   4,            0.034061,            0.021258,            0.012608,             0.82976,             0.62186,             0.71248,              0.5025,             0.02888,            0.020073,            0.010327,            0.009703,            0.009703,            0.009703
                   5,             0.03277,            0.021242,            0.011285,             0.66904,             0.75969,             0.77153,              0.5714,            0.027592,            0.019199,            0.010663,            0.009604,            0.009604,            0.009604
                   6,            0.031253,            0.020719,            0.010554,             0.80294,             0.71358,             0.78534,             0.57478,            0.025347,             0.01928,           0.0090564,            0.009505,            0.009505,            0.009505
                   7,            0.029426,            0.019952,           0.0091694,             0.79104,             0.76089,             0.81666,              0.5957,            0.026614,              0.0185,           0.0082866,            0.009406,            0.009406,            0.009406
                   8,            0.029378,            0.020086,           0.0090658,             0.80923,             0.75171,              0.8239,             0.63085,            0.024561,            0.018391,           0.0082725,            0.009307,            0.009307,            0.009307
                   9,            0.028346,            0.019769,           0.0085209,             0.78018,             0.73356,             0.79736,             0.61021,            0.024282,            0.018359,           0.0089394,            0.009208,            0.009208,            0.009208
                  10,            0.027893,            0.019514,           0.0080726,             0.79428,             0.72863,              0.8013,             0.61006,            0.023547,            0.018156,           0.0086071,            0.009109,            0.009109,            0.009109
                  11,            0.027353,             0.01943,           0.0078731,              0.8177,             0.76837,             0.84024,             0.63916,            0.023275,             0.01792,           0.0073846,             0.00901,             0.00901,             0.00901
                  12,            0.026585,            0.019084,           0.0073483,             0.82302,             0.75023,             0.83748,             0.64265,            0.023615,            0.018119,           0.0073099,            0.008911,            0.008911,            0.008911
                  13,            0.026346,            0.018474,           0.0070686,             0.84016,             0.72073,             0.81838,             0.63028,            0.023791,            0.018607,           0.0078097,            0.008812,            0.008812,            0.008812
                  14,            0.025719,            0.018442,           0.0072968,             0.82743,              0.7526,             0.82833,             0.64104,            0.022942,            0.018058,           0.0073873,            0.008713,            0.008713,            0.008713
                  15,            0.025512,            0.018527,           0.0069844,             0.83144,             0.75074,             0.83826,              0.6598,            0.022363,            0.017591,            0.006918,            0.008614,            0.008614,            0.008614
                  16,            0.025275,               0.018,           0.0064507,             0.80578,             0.76267,             0.83636,             0.65592,            0.022796,            0.017582,           0.0069584,            0.008515,            0.008515,            0.008515
                  17,            0.024925,            0.018154,           0.0061028,              0.8222,             0.76869,             0.84319,             0.66257,            0.021957,            0.017567,           0.0066493,            0.008416,            0.008416,            0.008416
                  18,            0.024232,            0.017894,           0.0063431,             0.82262,             0.75493,             0.83501,             0.66088,            0.021663,            0.017399,           0.0075114,            0.008317,            0.008317,            0.008317
                  19,            0.024414,            0.017788,           0.0061328,             0.82936,             0.77091,             0.84548,             0.66518,            0.022118,            0.017497,           0.0068725,            0.008218,            0.008218,            0.008218
                  20,            0.024032,            0.017384,           0.0059588,             0.82387,             0.75087,             0.84071,             0.66802,            0.021561,            0.017543,            0.006615,            0.008119,            0.008119,            0.008119
                  21,            0.023933,            0.017368,           0.0057849,             0.84363,              0.7715,             0.85455,             0.67918,            0.021674,            0.017412,           0.0062724,             0.00802,             0.00802,             0.00802
                  22,            0.023719,            0.017495,           0.0054192,             0.83527,             0.76405,             0.84817,              0.6732,            0.021409,            0.017232,            0.006696,            0.007921,            0.007921,            0.007921
                  23,            0.023118,            0.017103,           0.0054905,             0.83859,             0.76774,             0.85168,             0.68599,            0.021176,            0.017169,           0.0063669,            0.007822,            0.007822,            0.007822
